Year,State,District,Rainfall,River_Level,Population,Area,People_Affected,Deaths,Agri_Loss,Economic_Loss,Infra_Damage
2015,Tamil Nadu,Chennai,320,9,8000,120,6000,120,25,80,60
2016,Kerala,Alappuzha,280,8,6000,100,4200,90,20,65,50
2017,Karnataka,Belagavi,250,7,5000,90,3000,70,15,50,40
2018,Kerala,Ernakulam,400,10,10000,150,8500,200,40,120,90
2019,Maharashtra,Kolhapur,350,9,9000,140,7000,150,30,100,80
2020,Bihar,Patna,300,8,12000,160,9500,180,35,110,85
2021,Assam,Guwahati,420,11,15000,180,12000,250,50,150,120
2022,West Bengal,Kolkata,310,8,13000,170,10000,200,45,130,100
2023,Odisha,Cuttack,360,9,11000,150,8800,170,40,120,95
2024,Andhra Pradesh,Vijayawada,330,8,9500,140,7200,130,28,90,70
2015,Gujarat,Surat,290,7,8500,130,6400,110,22,85,65
2016,Uttar Pradesh,Lucknow,310,8,14000,180,10500,210,38,120,95
2017,Rajasthan,Kota,270,6,7000,110,4500,80,18,60,45
2018,Telangana,Hyderabad,300,7,12000,160,8500,160,30,100,75
2019,Chhattisgarh,Raipur,280,7,8000,120,5500,100,20,70,55
2020,Jharkhand,Ranchi,260,6,7500,115,4800,90,18,65,50
2021,Haryana,Gurgaon,240,5,9000,130,4000,60,12,50,40
2022,Punjab,Amritsar,230,5,8500,125,3800,55,10,45,35
2023,Madhya Pradesh,Bhopal,300,7,9500,140,6500,120,25,80,60
2024,Delhi,New Delhi,280,6,16000,200,9000,140,20,100,80
